------------------------------------------------------------------------------------
导出信息：
姓名：测试
支付宝账户：test***@example.com
起始时间：[2026-08-01 00:00:00]    终止时间：[2026-09-15 23:59:59]
导出交易类型：[全部]
导出时间：[2026-09-16 09:30:00]
共12笔记录
收入：1笔 1500.00元
支出：10笔 436.20元
不计收支：1笔 200.00元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
4.本明细仅供个人对账使用。

------------------------支付宝（中国）网络技术有限公司  电子客户回单------------------------
交易时间            ,交易分类                ,交易对方                ,对方账号                ,商品说明                ,收/支                 ,金额                  ,收/付款方式              ,交易状态                ,交易订单号     ,商家订单号           ,备注                  ,
2026-08-02 12:30:00 ,餐饮美食                ,星巴克(武汉光谷店)      ,/                   ,拿铁                    ,支出                  ,31.00               ,余额宝                 ,交易成功                ,20260802xxxx0001	,20260802001	,                    ,
2026-08-06 19:20:11 ,日用百货                ,永辉超市                ,/                   ,日用品                  ,支出                  ,68.50               ,余额                   ,交易成功                ,20260806xxxx0002	,                    ,                    ,
2026-08-10 08:15:00 ,交通出行                ,滴滴出行                ,/                   ,快车                    ,支出                  ,23.00               ,交通银行信用卡(7449)       ,交易成功                ,20260810xxxx0003	,20260810003	,                    ,
2026-08-14 13:05:00 ,餐饮美食                ,美团                    ,/                   ,外卖订单                ,支出                  ,26.80               ,余额                   ,交易成功                ,20260814xxxx0004	,20260814004	,                    ,
2026-08-18 22:10:00 ,数码电器                ,京东                    ,/                   ,商品                    ,支出                  ,199.00              ,余额宝                 ,交易成功                ,20260818xxxx0005	,                    ,                    ,
2026-08-22 10:00:00 ,转账红包                ,妈妈                    ,fam***@qq.com    ,转账                    ,收入                  ,1500.00             ,余额                   ,交易成功                ,20260822xxxx0006	,                    ,                    ,
2026-08-26 15:40:00 ,投资理财                ,余额宝                  ,/                   ,余额宝-转出到余额       ,不计收支                ,200.00              ,余额宝                 ,交易成功                ,20260826xxxx0007	,                    ,                    ,
2026-08-30 11:20:00 ,医疗健康                ,校医院                  ,/                   ,门诊                    ,支出                  ,12.00               ,余额                   ,交易成功                ,                    ,                    ,                    ,
2026-09-02 21:00:00 ,餐饮美食                ,瑞幸咖啡                ,/                   ,生椰拿铁                ,支出                  ,19.90               ,余额                   ,交易成功                ,20260902xxxx0009	,20260902009	,                    ,
2026-09-06 09:00:00 ,生活服务                ,理发店                  ,/                   ,剪发                    ,支出                  ,35.00               ,余额                   ,交易成功                ,20260906xxxx0010	,                    ,
2026-09-11 20:30:00 ,文化休闲                ,网易云音乐              ,/                   ,会员                    ,支出                  ,15.00               ,余额宝                 ,交易成功                ,20260911xxxx0011	,                    ,                    ,
2026-09-14 12:00:00 ,交通出行                ,武汉地铁                ,/                   ,乘车码                  ,支出                  ,6.00                ,余额                   ,交易成功                ,20260914xxxx0012	,                    ,                    ,
